Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 3.464944e-001  4.828173e-004  9.135631e-004
 3.471892e-001  8.318888e-004  9.131072e-004
 3.478839e-001 -2.026502e-004  9.112107e-004
 3.485787e-001 -3.402525e-004  9.056004e-004
 3.492734e-001  1.254769e-003  9.068104e-004
 3.499681e-001  2.178745e-004  9.027131e-004
 3.506629e-001  2.456026e-004  8.992843e-004
 3.513576e-001  4.654645e-004  9.043367e-004
 3.520523e-001  9.488974e-004  8.998476e-004
 3.527470e-001  7.295890e-004  9.023463e-004
 3.534416e-001  3.369326e-004  8.970083e-004
 3.541363e-001  1.342780e-004  9.083314e-004
 3.548310e-001  4.638039e-004  8.967075e-004
 3.555256e-001  5.973775e-004  9.030946e-004
 3.562202e-001  1.385775e-003  9.073351e-004
 3.569149e-001  1.115562e-003  9.087506e-004
 3.576095e-001  3.537635e-004  9.015803e-004
 3.583041e-001 -3.108681e-004  9.013384e-004
 3.589987e-001  8.128127e-004  8.989066e-004
 3.596933e-001  2.647090e-004  8.996694e-004
 3.603878e-001  7.754368e-004  9.021508e-004
 3.610824e-001  4.234486e-004  9.049849e-004
 3.617770e-001  3.243968e-004  9.035231e-004
 3.624715e-001  5.963218e-005  8.993562e-004
 3.631660e-001  5.471091e-004  9.011727e-004
 3.638606e-001 -2.406911e-004  8.989424e-004
 3.645551e-001  4.874544e-004  9.077184e-004
 3.652496e-001  2.202591e-004  9.082707e-004
 3.659441e-001  1.094263e-003  9.043584e-004
 3.666385e-001  3.780433e-005  9.002331e-004
 3.673330e-001  1.277489e-003  9.107163e-004
 3.680274e-001  3.718572e-004  9.089044e-004
 3.687219e-001  8.251527e-004  9.040325e-004
 3.694163e-001 -6.301654e-004  8.981008e-004
 3.701107e-001  2.161825e-004  9.024956e-004
 3.708052e-001  8.879431e-004  8.931490e-004
 3.714996e-001  6.392911e-004  8.898288e-004
 3.721940e-001  1.248022e-004  8.939845e-004
 3.728883e-001  4.851477e-004  9.012048e-004
 3.735827e-001  5.363250e-004  8.988603e-004
 3.742771e-001  1.161521e-004  9.011267e-004
 3.749714e-001  2.450670e-004  9.001782e-004
 3.756657e-001 -4.287153e-004  8.965454e-004
 3.763601e-001  2.811127e-004  9.020471e-004
 3.770544e-001  3.909334e-004  9.051235e-004
 3.777487e-001  8.824159e-004  9.025886e-004
 3.784430e-001  3.354261e-004  8.979199e-004
 3.791373e-001  2.390655e-004  9.011023e-004
 3.798315e-001  4.275494e-004  9.016150e-004
 3.805258e-001  9.947218e-004  9.063971e-004
 3.812200e-001 -4.332892e-004  9.064041e-004
 3.819143e-001  6.375358e-004  8.998711e-004
 3.826085e-001  7.154612e-004  8.978747e-004
 3.833027e-001  4.312900e-004  9.042244e-004
 3.839969e-001  6.174179e-004  8.981032e-004
 3.846911e-001  1.111559e-004  8.984621e-004
 3.853853e-001  8.019173e-004  9.019886e-004
 3.860794e-001  2.241827e-004  9.005467e-004
 3.867736e-001  1.425991e-003  8.983560e-004
 3.874678e-001  4.659724e-004  8.937616e-004
