# Diamond Light Source Ltd.
# Non Crystalline Diffraction Results Export File
# Data extracted from file: /dls/b21/data/2014/sm9384-1/processing/results_b21-7734_detector_070314_132234.nxs
# Dataset name: /entry1/detector_processing/Average/data
# Title: Sample: HSP18.1 (Location   I A  2)
# Scan command: static readout
# q(1/A)      	Column      	Error       	
0.12698987  	3.2896998e-11	3.1783739e-13
0.12726468  	3.2428508e-11	3.1610727e-13
0.12753947  	3.2103667e-11	3.1605548e-13
0.12781428  	3.2534784e-11	3.1537246e-13
0.12808907  	3.2524438e-11	3.1525799e-13
0.12836388  	3.1745381e-11	3.1364118e-13
0.12863867  	3.1348826e-11	3.1280219e-13
0.12891348  	3.0905035e-11	3.1135180e-13
0.12918827  	3.0432309e-11	3.1050786e-13
0.12946308  	3.0423393e-11	3.0995313e-13
0.12973787  	2.9665419e-11	3.0873372e-13
0.13001266  	2.9342032e-11	3.0815042e-13
0.13028747  	2.9365507e-11	3.0771417e-13
0.13056226  	2.8297588e-11	3.0586560e-13
0.13083707  	2.8561323e-11	3.0616086e-13
0.13111186  	2.8061921e-11	3.0474362e-13
0.13138667  	2.7737005e-11	3.0388927e-13
0.13166146  	2.7183051e-11	3.0310035e-13
0.13193627  	2.8079077e-11	3.0400332e-13
0.13221106  	2.7338399e-11	3.0223724e-13
0.13248587  	2.6594468e-11	3.0133418e-13
0.13276066  	2.6414463e-11	3.0021295e-13
0.13303545  	2.6052705e-11	2.9882176e-13
0.13331026  	2.6291502e-11	2.9892844e-13
0.13358505  	2.5090171e-11	2.9675177e-13
0.13385986  	2.5176626e-11	2.9620853e-13
0.13413465  	2.5403818e-11	2.9729997e-13
0.13440946  	2.4992716e-11	2.9529580e-13
0.13468425  	2.4271923e-11	2.9388804e-13
0.13495906  	2.3344278e-11	2.9269919e-13
0.13523385  	2.2825974e-11	2.9131182e-13
0.13550864  	2.2807872e-11	2.9131388e-13
0.13578345  	2.3145812e-11	2.9088187e-13
0.13605824  	2.2994174e-11	2.9000129e-13
0.13633305  	2.2554233e-11	2.8917548e-13
0.13660784  	2.2454372e-11	2.8867590e-13
0.13688265  	2.2290683e-11	2.8825678e-13
0.13715744  	2.1491571e-11	2.8600164e-13
0.13743225  	2.1727524e-11	2.8593940e-13
0.13770704  	2.1081324e-11	2.8465308e-13
0.13798185  	2.1021788e-11	2.8437907e-13
0.13825664  	1.9951027e-11	2.8283094e-13
0.13853143  	2.0920319e-11	2.8332531e-13
0.13880624  	2.0259135e-11	2.8289380e-13
0.13908103  	1.9885822e-11	2.8126294e-13
0.13935584  	1.9859120e-11	2.8071252e-13
0.13963063  	1.9541918e-11	2.8025374e-13
0.13990544  	1.8827637e-11	2.7873344e-13
0.14018023  	1.8902054e-11	2.7808371e-13
0.14045504  	1.8135708e-11	2.7727207e-13
0.14072983  	1.7794507e-11	2.7674054e-13
0.14100464  	1.8262300e-11	2.7598629e-13
0.14127943  	1.8185290e-11	2.7523833e-13
0.14155422  	1.8860731e-11	2.7584835e-13
0.14182903  	1.7715402e-11	2.7349306e-13
0.14210382  	1.6926471e-11	2.7291618e-13
0.14237863  	1.6964744e-11	2.7231635e-13
0.14265342  	1.7311323e-11	2.7257943e-13
0.14292823  	1.6965998e-11	2.7095890e-13
0.14320302  	1.6620734e-11	2.7005335e-13
0.14347783  	1.6090650e-11	2.7008455e-13
0.14375262  	1.5836386e-11	2.6936843e-13
0.14402743  	1.5910044e-11	2.6928186e-13
0.14430222  	1.5551924e-11	2.6811130e-13
0.14457701  	1.5394259e-11	2.6698175e-13
0.14485182  	1.4847561e-11	2.6634641e-13
0.14512661  	1.3965061e-11	2.6547099e-13
0.14540142  	1.4439069e-11	2.6581214e-13
0.14567621  	1.4410560e-11	2.6468628e-13
0.14595102  	1.4468804e-11	2.6565561e-13
0.14622581  	1.3867620e-11	2.6399987e-13
0.14650062  	1.3905058e-11	2.6304086e-13
0.14677541  	1.4044029e-11	2.6341738e-13
0.14705020  	1.3992665e-11	2.6289883e-13
0.14732501  	1.2936433e-11	2.6101560e-13
0.14759980  	1.2647831e-11	2.6050679e-13
0.14787461  	1.3361486e-11	2.6093721e-13
0.14814940  	1.3196814e-11	2.6009205e-13
0.14842421  	1.2239145e-11	2.5918032e-13
0.14869900  	1.2779540e-11	2.5979682e-13
0.14897381  	1.2317009e-11	2.5882906e-13
0.14924860  	1.2062958e-11	2.5811815e-13
0.14952341  	1.3020740e-11	2.5822275e-13
0.14979820  	1.1865607e-11	2.5678044e-13
0.15007299  	1.1984810e-11	2.5604280e-13
0.15034780  	1.2246038e-11	2.5656089e-13
0.15062259  	1.1892358e-11	2.5566661e-13
0.15089740  	1.1732040e-11	2.5545936e-13
0.15117219  	1.2098782e-11	2.5547384e-13
0.15144700  	1.1624132e-11	2.5463187e-13
0.15172179  	1.2163695e-11	2.5487295e-13
0.15199660  	1.1930585e-11	2.5380766e-13
0.15227139  	1.1503462e-11	2.5351479e-13
0.15254620  	1.0911143e-11	2.5211975e-13
0.15282099  	1.0642774e-11	2.5150213e-13
0.15309578  	1.1076049e-11	2.5138715e-13
0.15337059  	1.0880658e-11	2.5140201e-13
0.15364538  	1.0969850e-11	2.5096272e-13
0.15392019  	1.0430461e-11	2.5013609e-13
0.15419498  	1.0411566e-11	2.4935094e-13
